Código	Denominación	[A]	[B]	[B] VS [A]	
		ene-2025 Proyectado	ene-2025 Histórico	ene-2025 Histórico	
				VS	
				ene-2025 Proyectado	
		Monto	Monto	Monto	%
212510	DEPÓSITOS A CORTO PLAZO - INACTIVAS	620.540.497	571.935.691	-48.604.806	-7,83%
212515	DEPÓSITOS A LARGO PLAZO - ACTIVAS	46.589.687	142.290.896	95.701.209	205,41%
212520	DEPÓSITOS A LARGO PLAZO - INACTIVAS	17.132.630	59.936.811	42.804.181	249,84%
212595	INTERESES DEPÓSITOS DE AHORRO CONTRACTUAL	40.014.666	23.794.201	-16.220.465	-40,54%
23	OBLIGACIONES FINANCIERAS Y OTROS PASIVOS FINANCIEROS	6.634.202.040	5.923.492.678	-710.709.362	-10,71%
2305	CRÉDITOS ORDINARIOS CORTO PLAZO	1.539.690	0	-1.539.690	-100,00%
230510	BANCOS COOPERATIVOS	1.536.889	0	-1.536.889	-100,00%
230535	INTERESES CRÉDITOS ORDINARIOS CORTO PLAZO	2.801	0	-2.801	-100,00%
2315	FINAGRO	6.632.662.350	5.923.492.678	-709.169.672	-10,69%
231505	CRÉDITOS A CORTO PLAZO	5.340.664.256	2.950.936.963	-2.389.727.293	-44,75%
231510	CRÉDITOS A LARGO PLAZO	1.135.861.463	2.872.526.103	1.736.664.640	152,89%
231595	INTERESES FINAGRO	156.136.631	100.029.612	-56.107.019	-35,93%
24	CUENTAS POR PAGAR Y OTRAS	2.071.589.574	1.987.377.944	-84.211.630	-4,07%
2410	COSTOS Y GASTOS POR PAGAR	150.273.978	227.265.455	76.991.477	51,23%
241010	SEGUROS	114.634.459	198.710.236	84.075.777	73,34%
241095	OTROS	35.639.520	28.555.219	-7.084.301	-19,88%
2420	PROVEEDORES	0	123.788.274	123.788.274	100,00%
242005	NACIONALES	0	123.788.274	123.788.274	100,00%
2425	CONTRIBUCIONES Y AFILIACIONES	136.375.133	207.533.000	71.157.867	52,18%
242510	FONDO DE GARANTÍAS DE ENTIDADES COOPERATIVAS	136.375.133	207.533.000	71.157.867	52,18%
2430	GRAVAMEN DE LOS MOVIMIENTOS FINANCIEROS	14.789.663	23.824.614	9.034.951	61,09%
243005	SOBRE DEPÓSITOS DE AHORRO	13.967.840	22.537.993	8.570.153	61,36%
243010	SOBRE CERTIFICADOS DE DEPÓSITOS DE AHORRO A TÉRMINO	728.661	954.536	225.875	31,00%
243015	SOBRE DEPÓSITOS DE AHORRO CONTRACTUAL	60.460	254.009	193.549	320,13%
243095	SOBRE OTRAS TRANSACCIONES	32.701	78.076	45.375	138,76%
2435	RETENCIÓN EN LA FUENTE	40.964.972	50.050.498	9.085.526	22,18%
243505	SALARIOS Y PAGOS LABORALES	1.490.769	1.461.000	-29.769	-2,00%
243515	HONORARIOS	4.571.171	3.635.434	-935.737	-20,47%
243520	COMISIONES	279.466	399.076	119.610	42,80%
243525	SERVICIOS	2.139.805	4.008.124	1.868.319	87,31%
243530	ARRENDAMIENTOS	1.461.535	1.731.517	269.982	18,47%
243535	RENDIMIENTOS FINANCIEROS	30.040.457	36.919.575	6.879.118	22,90%
243540	COMPRAS	200.855	396.376	195.521	97,34%
243560	IMPUESTO A LAS VENTAS RETENIDO POR CONSIGNAR	127.311	248.981	121.670	95,57%
243575	RETENCIÓN DE IMPUESTO DE INDUSTRIA Y COMERCIO POR COMPRAS	653.602	1.250.415	596.813	91,31%
2440	PASIVO POR IMPUESTOS CORRIENTES	203.889.070	301.768.068	97.878.998	48,01%
244010	IMPUESTO A LAS VENTAS POR PAGAR	18.108.277	15.980.068	-2.128.210	-11,75%
244015	INDUSTRIA Y COMERCIO	185.780.792	285.788.000	100.007.208	53,83%
2445	VALORES POR REINTEGRAR	100.070.938	122.434.285	22.363.347	22,35%
244510	MAYOR DESCUENTO	130.742	372.000	241.258	184,53%
244595	OTROS	99.940.196	122.062.285	22.122.089	22,14%
2450	RETENCIONES Y APORTES LABORALES	193.643.867	151.035.383	-42.608.484	-22,00%
245005	APORTES A BIENESTAR PROMOTORAS DE SALUD EPS	20.975.336	26.382.741	5.407.405	25,78%
245010	APORTES A BIENESTAR PROMOTORAS DE PENSIÓN	77.083.248	94.111.642	17.028.394	22,09%
245015	APORTES A ADMINISTRADORAS DE RIESGOS LABORALES ARL	6.090.482	7.597.200	1.506.718	24,74%
245020	APORTES AL ICBF SENA Y CAJAS DE COMPENSACIÓN FAMILIAR	18.639.092	22.943.800	4.304.708	23,10%
245040	COOPERATIVAS	70.855.709	0	-70.855.709	-100,00%
2460	EXIGIBILIDADES POR SERVICIOS DE RECAUDO	673.171.404	558.903.051	-114.268.353	-16,97%
246005	SERVICIOS PÚBLICOS MUNICIPALES	72.105.959	128.333.374	56.227.415	77,98%
246015	PENSIONES Y MATRICULAS	8.360.031	29.509.250	21.149.219	252,98%
246020	NÓMINAS DE BIENESTAR	35.508.384	1.469.811	-34.038.573	-95,86%
246025	IMPUESTOS	375.924.191	209.731.050	-166.193.141	-44,21%
246030	CONVENIOS PROGRAMADOS	177.692.129	176.264.597	-1.427.532	-0,80%
246095	OTROS	3.580.709	13.594.969	10.014.260	279,67%
2465	REMANENTES POR PAGAR	129.739.318	220.775.316	91.035.998	70,17%
246505	DE APORTES EXASOCIADOS	129.586.620	220.600.126	91.013.506	70,23%
246510	DEPÓSITOS EXASOCIADOS	152.698	175.190	22.492	14,73%
2470	ESTABLECIMIENTOS AFILIADOS	428.671.233	0	-428.671.233	-100,00%
26	FONDOS SOCIALES Y MUTUALES	605.082.894	534.846.120	-70.236.774	-11,61%
2610	FONDO SOCIAL DE SOLIDARIDAD	389.249	0	-389.249	-100,00%
2648	FONDO SOCIAL PARA OTROS FINES	604.693.645	534.846.120	-69.847.525	-11,55%
27	OTROS PASIVOS	1.066.141.941	1.161.063.516	94.921.575	8,90%
2710	OBLIGACIONES LABORALES POR BENEFICIOS A EMPLEADOS	797.983.061	604.922.092	-193.060.969	-24,19%
271005	BENEFICIOS A EMPLEADOS A CORTO PLAZO	797.983.061	604.922.092	-193.060.969	-24,19%
2720	INGRESOS ANTICIPADOS - DIFERIDOS	155.685.184	174.540.311	18.855.127	12,11%
272005	INTERESES	155.685.184	174.540.311	18.855.127	12,11%
2725	INGRESOS RECIBIDOS PARA TERCEROS	112.473.696	381.601.113	269.127.417	239,28%
272505	VALORES RECIBIDOS PARA TERCEROS	112.473.696	381.601.113	269.127.417	239,28%
28	PROVISIONES	12.494.887	12.840.000	345.113	2,76%
2820	PROVISIÓN MULTAS SANCIONES LITIGIOS INDEMNIZACIONES Y DEMANDAS	12.494.887	12.840.000	345.113	2,76%
3	PATRIMONIO	48.169.776.066	74.057.236.706	25.887.460.639	53,74%
31	CAPITAL SOCIAL	55.245.268.865	55.270.144.634	24.875.770	0,05%
3105	APORTES SOCIALES TEMPORALMENTE RESTRINGIDOS	29.082.803.203	26.800.144.634	-2.282.658.568	-7,85%
310505	APORTES ORDINARIOS	29.082.803.203	26.800.144.634	-2.282.658.568	-7,85%
3110	APORTES SOCIALES MÍNIMOS NO REDUCIBLES	26.162.465.662	28.470.000.000	2.307.534.338	8,82%
311005	APORTES ORDINARIOS	24.372.905.563	26.691.552.847	2.318.647.284	9,51%
311010	APORTES AMORTIZADOS	1.789.560.099	1.778.447.153	-11.112.946	-0,62%
32	RESERVAS	10.657.614.097	10.591.431.637	-66.182.460	-0,62%
3205	RESERVA PROTECCIÓN DE APORTES	10.584.388.093	10.518.660.358	-65.727.735	-0,62%
3215	RESERVA DE ASAMBLEA	73.226.003	72.771.279	-454.724	-0,62%
