Código	Denominación	[A]	[B]	[B] VS [A]	
		jul-2025 Proyectado	jul-2025 Histórico	jul-2025 Histórico	
				VS	
				jul-2025 Proyectado	
		Monto	Monto	Monto	%
2305	CRÉDITOS ORDINARIOS CORTO PLAZO	1.539.690	764.530	-775.160	-50,35%
230505	BANCOS COMERCIALES	1.539.690	764.530	-775.160	-50,35%
2315	FINAGRO	6.459.744.658	4.064.939.488	-2.394.805.170	-37,07%
231505	CRÉDITOS A CORTO PLAZO	4.249.438.578	2.353.981.898	-1.895.456.680	-44,60%
231510	CRÉDITOS A LARGO PLAZO	2.067.113.527	1.643.115.496	-423.998.031	-20,51%
231595	INTERESES FINAGRO	143.192.553	67.842.094	-75.350.459	-52,62%
2325	BANCOLDEX	3.384.910.782	0	-3.384.910.782	-100,00%
232505	CRÉDITOS A CORTO PLAZO	776.412.630	0	-776.412.630	-100,00%
232510	CRÉDITOS A LARGO PLAZO	2.591.232.872	0	-2.591.232.872	-100,00%
232595	INTERESES BANCOLDEX	17.265.280	0	-17.265.280	-100,00%
24	CUENTAS POR PAGAR Y OTRAS	2.071.589.574	1.825.620.486	-245.969.088	-11,87%
2410	COSTOS Y GASTOS POR PAGAR	200.527.189	257.195.157	56.667.968	28,26%
241010	SEGUROS	129.083.919	242.626.119	113.542.200	87,96%
241095	OTROS	71.443.271	14.569.038	-56.874.233	-79,61%
2420	PROVEEDORES	334.129.340	20.555.350	-313.573.990	-93,85%
242005	NACIONALES	334.129.340	20.555.350	-313.573.990	-93,85%
2425	CONTRIBUCIONES Y AFILIACIONES	40.426.176	73.873.000	33.446.824	82,74%
242510	FONDO DE GARANTÍAS DE ENTIDADES COOPERATIVAS	40.426.176	73.873.000	33.446.824	82,74%
2430	GRAVAMEN DE LOS MOVIMIENTOS FINANCIEROS	15.032.086	24.941.102	9.909.016	65,92%
243005	SOBRE DEPÓSITOS DE AHORRO	14.726.666	23.987.547	9.260.881	62,89%
243010	SOBRE CERTIFICADOS DE DEPÓSITOS DE AHORRO A TÉRMINO	15.631	769.659	754.028	4824,03%
243015	SOBRE DEPÓSITOS DE AHORRO CONTRACTUAL	289.790	121.198	-168.592	-58,18%
243095	SOBRE OTRAS TRANSACCIONES	0	62.698	62.698	100,00%
2435	RETENCIÓN EN LA FUENTE	64.236.113	43.678.737	-20.557.376	-32,00%
243505	SALARIOS Y PAGOS LABORALES	969.291	1.834.000	864.709	89,21%
243515	HONORARIOS	7.260.784	6.688.737	-572.047	-7,88%
243520	COMISIONES	471.467	380.696	-90.771	-19,25%
243525	SERVICIOS	5.686.428	6.410.715	724.287	12,74%
243530	ARRENDAMIENTOS	1.426.377	2.190.715	764.338	53,59%
243535	RENDIMIENTOS FINANCIEROS	42.537.140	20.294.456	-22.242.684	-52,29%
243540	COMPRAS	3.241.553	2.594.907	-646.646	-19,95%
243560	IMPUESTO A LAS VENTAS RETENIDO POR CONSIGNAR	486.295	784.652	298.357	61,35%
243575	RETENCIÓN DE IMPUESTO DE INDUSTRIA Y COMERCIO POR COMPRAS	2.156.778	2.499.859	343.081	15,91%
2440	PASIVO POR IMPUESTOS CORRIENTES	158.283.955	156.695.201	-1.588.754	-1,00%
244010	IMPUESTO A LAS VENTAS POR PAGAR	12.570.115	18.511.201	5.941.086	47,26%
244015	INDUSTRIA Y COMERCIO	145.713.840	138.184.000	-7.529.840	-5,17%
2445	VALORES POR REINTEGRAR	102.242.310	122.791.824	20.549.514	20,10%
244510	MAYOR DESCUENTO	845.356	8.210	-837.146	-99,03%
244595	OTROS	101.396.955	122.783.614	21.386.659	21,09%
2450	RETENCIONES Y APORTES LABORALES	244.773.489	152.733.622	-92.039.867	-37,60%
245005	APORTES A BIENESTAR PROMOTORAS DE SALUD EPS	22.734.027	23.954.997	1.220.970	5,37%
245010	APORTES A BIENESTAR PROMOTORAS DE PENSIÓN	81.215.599	95.559.550	14.343.951	17,66%
245015	APORTES A ADMINISTRADORAS DE RIESGOS LABORALES ARL	6.443.785	7.321.100	877.315	13,61%
245020	APORTES AL ICBF SENA Y CAJAS DE COMPENSACIÓN FAMILIAR	19.902.192	23.135.200	3.233.008	16,24%
245025	EMBARGOS JUDICIALES	308.426	0	-308.426	-100,00%
245040	COOPERATIVAS	114.169.460	2.762.775	-111.406.685	-97,58%
2460	EXIGIBILIDADES POR SERVICIOS DE RECAUDO	723.506.046	801.648.613	78.142.567	10,80%
246005	SERVICIOS PÚBLICOS MUNICIPALES	150.326.932	241.752.714	91.425.782	60,82%
246015	PENSIONES Y MATRICULAS	12.862.630	31.825.521	18.962.891	147,43%
246020	NÓMINAS DE BIENESTAR	16.444.427	117.451.653	101.007.226	614,23%
246025	IMPUESTOS	277.746.068	197.545.305	-80.200.763	-28,88%
246030	CONVENIOS PROGRAMADOS	165.978.732	181.587.327	15.608.595	9,40%
246095	OTROS	100.147.256	31.486.093	-68.661.163	-68,56%
2465	REMANENTES POR PAGAR	176.879.146	171.507.880	-5.371.266	-3,04%
246505	DE APORTES EXASOCIADOS	176.708.139	171.332.690	-5.375.449	-3,04%
246510	DEPÓSITOS EXASOCIADOS	171.007	175.190	4.183	2,45%
2470	ESTABLECIMIENTOS AFILIADOS	11.553.723	0	-11.553.723	-100,00%
26	FONDOS SOCIALES Y MUTUALES	718.024.894	570.569.677	-147.455.217	-20,54%
2605	FONDO SOCIAL DE EDUCACIÓN	60.000.000	7.005.600	-52.994.400	-88,32%
