					
Código	Denominación	[A]	[B]	[B] VS [A]	
		feb-2025 Proyectado	feb-2025 Histórico	feb-2025 Histórico	
				VS	
				feb-2025 Proyectado	
		Monto	Monto	Monto	%
146605	CATEGORÍA A RIESGO NORMAL	0	-2.699.571	-2.699.571	100,00%
146610	CATEGORÍA B RIESGO ACEPTABLE	0	-1.691.671	-1.691.671	100,00%
146615	CATEGORÍA C RIESGO APRECIABLE	-2.175.299	-12.786.190	-10.610.891	487,79%
146620	CATEGORÍA D RIESGO SIGNIFICATIVO	-9.248.443	-4.003.133	5.245.310	-56,72%
146625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-179.294.214	-108.272.322	71.021.892	-39,61%
146630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-128.830.555	-130.479.396	-1.648.841	1,28%
1467	DETERIORO PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS COMERCIALES (CR)	-67.976.804	-19.097.736	48.879.068	-71,91%
146715	CATEGORÍA C RIESGO APRECIABLE	0	-2.993	-2.993	100,00%
146720	CATEGORÍA D RIESGO SIGNIFICATIVO	-81.353	0	81.353	-100,00%
146725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-63.550.277	-14.281.488	49.268.789	-77,53%
146730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-4.345.174	-4.813.255	-468.081	10,77%
1468	DETERIORO GENERAL DE CARTERA DE CRÉDITOS (CR)	-6.408.764.674	-6.369.202.025	39.562.649	-0,62%
146805	DETERIORO GENERAL DE CARTERA DE CRÉDITOS (CR)	-1.490.410.389	-1.819.772.011	-329.361.622	22,10%
146810	DETERIORO GENERAL ADICIONAL CARTERA DE CRÉDITOS (CR)	-4.918.354.284	-4.549.430.014	368.924.270	-7,50%
1476	CRÉDITOS PRODUCTIVOS	54.759.445.218	57.942.408.193	3.182.962.975	5,81%
147605	CATEGORÍA A RIESGO NORMAL	54.518.503.659	55.825.278.505	1.306.774.846	2,40%
147610	CATEGORÍA B RIESGO ACEPTABLE	196.487.841	438.731.608	242.243.767	123,29%
147615	CATEGORÍA C RIESGO APRECIABLE	20.217.992	160.339.501	140.121.509	693,05%
147620	CATEGORÍA D RIESGO SIGNIFICATIVO	9.123.811	59.501.023	50.377.212	552,15%
147625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	15.111.914	1.458.557.556	1.443.445.642	9551,71%
1477	INTERESES CRÉDITOS PRODUCTIVOS	3.614.639.282	2.311.889.649	-1.302.749.633	-36,04%
147705	CATEGORÍA A RIESGO NORMAL	2.376.616.268	2.023.974.818	-352.641.450	-14,84%
147710	CATEGORÍA B RIESGO ACEPTABLE	161.189.998	43.224.216	-117.965.782	-73,18%
147715	CATEGORÍA C RIESGO APRECIABLE	104.067.214	17.206.466	-86.860.748	-83,47%
147720	CATEGORÍA D RIESGO SIGNIFICATIVO	90.981.285	7.089.211	-83.892.074	-92,21%
147725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	881.784.517	220.394.938	-661.389.579	-75,01%
