	Código	Denominación	[A]	[B]	[B] VS [A]	
			mar-2025 Proyectado	mar-2025 Histórico	mar-2025 Histórico	
					VS	
					mar-2025 Proyectado	
			Monto	Monto	Monto	%
	145920	CATEGORÍA D RIESGO SIGNIFICATIVO	-42.179.418	-16.040.598	26.138.820	-61,97%
	145925	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-678.505.706	-441.390.428	237.115.278	-34,95%
	145930	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-205.065.927	-126.249.973	78.815.954	-38,43%
	1460	DETERIORO PAGOS POR CUENTA DE ASOCIADOS - MICROCRÉDITO EMPRESARIAL (CR)	-454.278.956	-53.848.757	400.430.199	-88,15%
	146020	CATEGORÍA D RIESGO SIGNIFICATIVO	-1.138.942	-135.927	1.003.015	-88,07%
	146025	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-443.166.552	-53.712.830	389.453.722	-87,88%
	146030	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-9.973.462	0	9.973.462	-100,00%
	1462	CRÉDITOS COMERCIALES	28.050.856.960	22.694.639.431	-5.356.217.530	-19,09%
	146205	CATEGORÍA A RIESGO NORMAL	26.465.983.542	19.848.271.586	-6.617.711.956	-25,00%
	146210	CATEGORÍA B RIESGO ACEPTABLE	444.715.481	623.848.839	179.133.358	40,28%
	146215	CATEGORÍA C RIESGO APRECIABLE	227.593.759	534.653.785	307.060.026	134,92%
	146220	CATEGORÍA D RIESGO SIGNIFICATIVO	87.170.160	261.717.311	174.547.151	200,24%
	146225	CATEGORÍA E RIESGO DE INCOBRABILIDAD	825.394.018	1.426.147.910	600.753.892	72,78%
	1463	INTERESES CRÉDITOS COMERCIALES	1.075.331.643	957.045.691	-118.285.952	-11,00%
	146305	CATEGORÍA A RIESGO NORMAL	677.078.603	553.579.015	-123.499.588	-18,24%
	146310	CATEGORÍA B RIESGO ACEPTABLE	29.629.127	29.688.109	58.982	0,20%
	146315	CATEGORÍA C RIESGO APRECIABLE	3.907.707	30.253.244	26.345.537	674,19%
	146320	CATEGORÍA D RIESGO SIGNIFICATIVO	10.437.792	41.103.945	30.666.153	293,80%
	146325	CATEGORÍA E RIESGO DE INCOBRABILIDAD	183.423.332	177.039.683	-6.383.649	-3,48%
	146330	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	170.855.083	125.381.695	-45.473.388	-26,62%
	1464	PAGOS POR CUENTA DE ASOCIADOS -COMERCIAL	134.846.284	17.761.400	-117.084.884	-86,83%
	146405	CATEGORÍA A RIESGO NORMAL	544.948	91.900	-453.048	-83,14%
	146410	CATEGORÍA B RIESGO ACEPTABLE	162.706	0	-162.706	-100,00%
	146415	CATEGORÍA C RIESGO APRECIABLE	0	20.901	20.901	100,00%
	146420	CATEGORÍA D RIESGO SIGNIFICATIVO	162.706	43.800	-118.906	-73,08%
	146425	CATEGORÍA E RIESGO DE INCOBRABILIDAD	127.100.554	17.604.799	-109.495.755	-86,15%
	146430	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	6.875.369	0	-6.875.369	-100,00%
	1465	DETERIORO CRÉDITOS COMERCIALES (CR)	-681.971.032	-1.267.354.760	-585.383.728	85,84%
	146510	CATEGORÍA A RIESGO NORMAL	0	-73.300.844	-73.300.844	100,00%
	146520	CATEGORÍA B RIESGO ACEPTABLE	-2.722.995	-37.261.221	-34.538.226	1268,39%
	146530	CATEGORÍA C RIESGO APRECIABLE	-43.500.592	-88.307.284	-44.806.692	103,00%
	146540	CATEGORÍA D RIESGO SIGNIFICATIVO	-3.925.522	-119.007.006	-115.081.484	2931,62%
	146550	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-631.821.922	-949.478.405	-317.656.483	50,28%
	1466	DETERIORO INTERESES CRÉDITOS COMERCIALES (CR)	-357.896.769	-268.959.358	88.937.411	-24,85%
	146605	CATEGORÍA A RIESGO NORMAL	0	-2.436.375	-2.436.375	100,00%
	146610	CATEGORÍA B RIESGO ACEPTABLE	0	-1.731.813	-1.731.813	100,00%
	146615	CATEGORÍA C RIESGO APRECIABLE	-3.907.707	-5.224.095	-1.316.388	33,69%
	146620	CATEGORÍA D RIESGO SIGNIFICATIVO	-10.437.792	-19.268.814	-8.831.022	84,61%
	146625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-172.696.187	-110.839.720	61.856.467	-35,82%
	146630	INTERESES DE CRÉDITOS CON PERIODOS DE GRACIA	-170.855.083	-129.458.541	41.396.542	-24,23%
	1467	DETERIORO PAGOS POR CUENTA DE ASOCIADOS - CRÉDITOS COMERCIALES (CR)	-134.138.630	-14.659.757	119.478.873	-89,07%
	146715	CATEGORÍA C RIESGO APRECIABLE	0	-2.993	-2.993	100,00%
	146720	CATEGORÍA D RIESGO SIGNIFICATIVO	-162.706	-19.713	142.993	-87,88%
	146725	CATEGORÍA E RIESGO DE INCOBRABILIDAD	-127.100.554	-14.637.051	112.463.503	-88,48%
	146730	PAGOS POR CUENTA DE ASOCIADOS DE CRÉDITOS CON PERIODO DE GRACIA	-6.875.369	0	6.875.369	-100,00%
	1468	DETERIORO GENERAL DE CARTERA DE CRÉDITOS (CR)	-6.477.189.674	-6.399.153.664	78.036.010	-1,20%
	146805	DETERIORO GENERAL DE CARTERA DE CRÉDITOS (CR)	-1.506.323.179	-1.828.329.620	-322.006.441	21,38%
	146810	DETERIORO GENERAL ADICIONAL CARTERA DE CRÉDITOS (CR)	-4.970.866.495	-4.570.824.044	400.042.451	-8,05%
	1476	CRÉDITOS PRODUCTIVOS	56.538.445.218	60.723.482.740	4.185.037.522	7,40%
	147605	CATEGORÍA A RIESGO NORMAL	55.961.753.077	58.190.084.637	2.228.331.560	3,98%
	147610	CATEGORÍA B RIESGO ACEPTABLE	515.332.097	648.115.222	132.783.125	25,77%
	147615	CATEGORÍA C RIESGO APRECIABLE	36.955.311	311.311.271	274.355.960	742,40%
	147620	CATEGORÍA D RIESGO SIGNIFICATIVO	9.151.933	84.811.608	75.659.675	826,71%
	147625	CATEGORÍA E RIESGO DE INCOBRABILIDAD	15.252.800	1.489.160.002	1.473.907.202	9663,19%
