AÑO	MES	CANTIDAD_TRABAJADORES_QUE_PARTICIPARON	OFICINA_DEPENDENCIA	ROLES	TEMA_DE_FORMACION	TIPO_DE_FORMACION	TOTAL_DE_PARTICIPANTES	TOTAL_DE_TRABAJADORES	PORCENTAJE_DE_PARTICIPACION	NUM_VECES_FORMADO_CADA_TRABAJADOR	CALIFICACION
2025	Marzo	1	Chaparral	Asesores externos y barra	Atención servicio al cliente interno, habilidades para planeación efectiva, habilidades comunicacionales	Entrenamiento	153	206	74%	3	4.5
2025	Marzo	1	Planadas	Asesores externos y barra	Atención servicio al cliente interno, habilidades para planeación efectiva, habilidades comunicacionales	Entrenamiento	153	206	74%	3	4.5
2025	Marzo	3	Neiva	Asesores externos y barra	Atención servicio al cliente interno, habilidades para planeación efectiva, habilidades comunicacionales	Entrenamiento	153	206	74%	3	4.5
2025	Marzo	1	Gigante	Asesores externos y barra	Atención servicio al cliente interno, habilidades para planeación efectiva, habilidades comunicacionales	Entrenamiento	153	206	74%	3	4.5
2025	Abril	206	Todo Coofisam	Todos los roles	Equidad de Genero, portal empresarial, estrategia de seguridad en entornos públicos, boton PSE, Capacitación sobre consecuencias para los trabajadores en caso de evidenciarse un fraude	Capacitación Interna	206	206	100%	2	4.5
2025	Abril	162	Todo Coofisam	Todos los roles	Portafolio de servicios Fundacoofisam	Curso en Plataforma Aprendizaje	163	206	79%	2	5.0
2025	Abril	1	Espinal	Asesores externos y barra	Competencias básicas, técnicas y específicas	Inducción	163	206	79%	2	3.9
2025	Mayo	210	Todo Coofisam	Todos los roles	Acoso laboral, Protocolos llamadas efectivas de cartera, reprocesos	Capacitación Interna	210	210	100%	1	4.5
2025	Mayo	3	Dirección General	Auxiliares	Atención cliente interno, habilidades comunicacionales y empatia	Entrenamiento	3	210	1%	1	4.5
2025	Junio	3	Dirección General	Aprendiz Sena	Competencias básicas, técnicas y específicas	Inducción	3	199	2%	1	4.5
2025	Junio	2	Dirección General	Auxiliares	Empoderamiento de roles	Entrenamiento	2	199	1%	1	4.0
2025	Junio	32	Todo Coofisam	Todos los roles	Acoso laboral	Curso en Plataforma Aprendizaje	32	199	16%	1	5.0
2025	Junio	162	Todo Coofisam	Todos los roles	Nueva App Red Coopcentral, capacitación Red Coopagos Botón PSE, soluciones efectivas, presentación proyecto planeación estratégica, higiene postural, sensibilización ahorro de energía y movilidad sostenible, taller en el manejo de emociones y del stres, experiencia Elite, protocolos de cobranza, experiencia Elite.	Capacitación Interna	162	199	81%	1	4.5
2025	Julio	1	Dirección General	Auxiliares	Competencias básicas, técnicas y específicas	Inducción	1	201	0%	1	5.0
2025	Julio	152	Todo Coofisam	Todos los roles	Curso Comité Convivencia Laboral y Sostenibilidad	Curso en Plataforma Aprendizaje	152	201	76%	1	5.0
2025	Julio	201	Todo Coofisam	Todos los roles	Sensibilización estructura base de datos para tableros de control, Capacitación de motivación y Empoderamiento de Roles, Sensibilizacion proceso arqueos de caja, Analisis informacion Financiera por oficina, Sencibilización uso del papel, envio correspondencia CAD (Vinculaciones, pagares), periocidad y revisión, custodia de titulos Cad y depositos Oficina, Capacitacitación circulares crédito, Capacitación SARLAFT: Marcación Jurisdicción en Consultas Infolaft, Observaciones a Vinculaciones, Declaración Origen y Destino de Recursos, Capacitación de proceso de insolvencia, Capacitación sobre funciones y responsabilidades del comité COPASST y CCL, Capacitación prevención de lesiones osteomusculares.	Capacitación Interna	201	201	100%	1	5.0
2025	Julio	1	Iquira	Director Oficina	Liderazgo Comercial	Entrenamiento	1	201	0%	5	5.0
